Event_ID,irwinID,Incid_Name,Incid_Type,Map_ID,Map_Prog,Asmnt_Type,BurnBndAc,BurnBndLat,BurnBndLon,Ig_Date,Pre_ID,Post_ID,Perim_ID,dNBR_offst,dNBR_stdDv,NoData_T,IncGreen_T,Low_T,Mod_T,High_T,Comment,_EVT_mean,_EVT_media,_EVT_major,LF20_EVT_2,LF20_EVT_1,LF20_EVT_3,LF20_EVT_4,maj_veg_cl,LF20_EVT_6,LF20_EVT_7,LF20_EVT_8,LF20_EVT_9,LF20_EVT10,LF20_EVT11,LF20_EVT12,LF20_EVT13,LF20_EVT14,LF20_EVT15,LF20_EVT16,LF20_EVT17,LF20_EVT18,x,y
SD4356610347019850411,,NORBECK,Wildfire,"5128",MTBS,Initial (SS),"1804","43.566","-103.470",1985/04/11,,"503303019850422",,"-9999","-9999","9999","9999","5","-400","-9999",,7258.261640798225926,7141.000000000000000,7141.000000000000000,Northwestern Great Plains Mixedgrass Prairie,"7141","2141",He Northwestern Great Plains Mixedgrass Prairie,Herb,Grassland,"646",Mixedgrass Prairie,SRM 606: Wheatgrass-Bluestem-Needlegrass,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Perennial graminoid grassland,"255","176","92","1.000000","0.690196","0.360784",-103.4687511031,43.5649385745
SD4334910365819850712,,FLINT HILLS,Wildfire,"5024",MTBS,Extended,"21062","43.349","-103.658",1985/07/12,"503303019840622","503303019860511","503303019850828","103","-9999","-970","-150","110","308","550",,7208.548022718155153,7141.000000000000000,7141.000000000000000,Northwestern Great Plains Mixedgrass Prairie,"7141","2141",He Northwestern Great Plains Mixedgrass Prairie,Herb,Grassland,"646",Mixedgrass Prairie,SRM 606: Wheatgrass-Bluestem-Needlegrass,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Perennial graminoid grassland,"255","176","92","1.000000","0.690196","0.360784",-103.6401523754,43.3343622387
SD4337210347719850712,,SEVEN SISTERS,Wildfire,"5025",MTBS,Initial,"8465","43.372","-103.477",1985/07/12,"503303019850422","503303019850828",,"40","-9999","-970","-150","105","320","575",,7213.452252725601284,7141.000000000000000,7141.000000000000000,Northwestern Great Plains Mixedgrass Prairie,"7141","2141",He Northwestern Great Plains Mixedgrass Prairie,Herb,Grassland,"646",Mixedgrass Prairie,SRM 606: Wheatgrass-Bluestem-Needlegrass,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Perennial graminoid grassland,"255","176","92","1.000000","0.690196","0.360784",-103.4718439144,43.3831147510
WY4444510406019850727,,BOUNDARY  2,Wildfire,"5026",MTBS,Extended,"1381","44.445","-104.060",1985/07/27,"503402919850702","503402919860705","503402919850904","-22","-9999","-970","-150","110","254","450",,7264.906778296570337,7179.000000000000000,7179.000000000000000,Northwestern Great Plains-Black Hills Ponderosa Pine Woodland and Savanna,"7179","2179",Tr Northwestern Great Plains-Black Hills Ponderosa Pine Woodland and Savanna,Tree,Conifer,"631","Ponderosa Pine Forest, Woodland and Savanna",SAF 237: Interior Ponderosa Pine,Tree-dominated,Open tree canopy,Evergreen open tree canopy,"214","255","181","0.839216","1.000000","0.709804",-104.0660047640,44.4370684197
WY4440510422419850821,,LANTZ,Wildfire,"5027",MTBS,Extended,"3737","44.405","-104.224",1985/08/21,"503402919850702","503402919860705","503402919850904","-22","-9999","-970","-150","110","254","450",,7544.668017642150517,7141.000000000000000,7141.000000000000000,Northwestern Great Plains Mixedgrass Prairie,"7141","2141",He Northwestern Great Plains Mixedgrass Prairie,Herb,Grassland,"646",Mixedgrass Prairie,SRM 606: Wheatgrass-Bluestem-Needlegrass,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Perennial graminoid grassland,"255","176","92","1.000000","0.690196","0.360784",-104.2188211773,44.3795875363
SD4362010344419870415,,BISON TRAP,Wildfire,"5985",MTBS,Initial,"2602","43.620","-103.444",1987/04/15,"503303019850422","503303019870514",,"34","-9999","-970","-150","5","134","300",,7266.247224594363615,7141.000000000000000,7141.000000000000000,Northwestern Great Plains Mixedgrass Prairie,"7141","2141",He Northwestern Great Plains Mixedgrass Prairie,Herb,Grassland,"646",Mixedgrass Prairie,SRM 606: Wheatgrass-Bluestem-Needlegrass,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Perennial graminoid grassland,"255","176","92","1.000000","0.690196","0.360784",-103.4444901689,43.6171054703
SD4346510343919870723,,BATTLE MTN,Wildfire,"5768",MTBS,Initial,"2478","43.465","-103.439",1987/07/23,"503303019870514","503303019870818",,"120","-9999","-970","-150","170","575","9999",,7215.371108120233657,7141.000000000000000,7141.000000000000000,Northwestern Great Plains Mixedgrass Prairie,"7141","2141",He Northwestern Great Plains Mixedgrass Prairie,Herb,Grassland,"646",Mixedgrass Prairie,SRM 606: Wheatgrass-Bluestem-Needlegrass,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Perennial graminoid grassland,"255","176","92","1.000000","0.690196","0.360784",-103.4474102365,43.4704547430
SD4354510350419880322,,WINDY POINT,Wildfire,"6388",MTBS,Extended,"1335","43.545","-103.504",1988/03/22,"503303019860815","503303019880703","503303019880414","92","-9999","-970","-150","10","244","500",,7263.930810270089751,7141.000000000000000,7141.000000000000000,Northwestern Great Plains Mixedgrass Prairie,"7141","2141",He Northwestern Great Plains Mixedgrass Prairie,Herb,Grassland,"646",Mixedgrass Prairie,SRM 606: Wheatgrass-Bluestem-Needlegrass,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Perennial graminoid grassland,"255","176","92","1.000000","0.690196","0.360784",-103.5039981905,43.5444004052
SD4378110340519880705,,GALENA,Wildfire,"6389",MTBS,Extended,"16936","43.781","-103.405",1988/07/05,"503303019880703","503303019890924","503303019880905","21","-9999","-970","-150","120","258","450",,7229.026494502752030,7179.000000000000000,7179.000000000000000,Northwestern Great Plains-Black Hills Ponderosa Pine Woodland and Savanna,"7179","2179",Tr Northwestern Great Plains-Black Hills Ponderosa Pine Woodland and Savanna,Tree,Conifer,"631","Ponderosa Pine Forest, Woodland and Savanna",SAF 237: Interior Ponderosa Pine,Tree-dominated,Open tree canopy,Evergreen open tree canopy,"214","255","181","0.839216","1.000000","0.709804",-103.3872787420,43.7933497278
SD4407210333719880726,,WESTBERRY TRAIL,Wildfire,"6390",MTBS,Extended,"3944","44.072","-103.337",1988/07/26,"503302919880617","503302919890620",,"55","-9999","-970","-150","100","291","525",,7231.100541638455979,7141.000000000000000,7141.000000000000000,Northwestern Great Plains Mixedgrass Prairie,"7141","2141",He Northwestern Great Plains Mixedgrass Prairie,Herb,Grassland,"646",Mixedgrass Prairie,SRM 606: Wheatgrass-Bluestem-Needlegrass,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Perennial graminoid grassland,"255","176","92","1.000000","0.690196","0.360784",-103.3193449691,44.0631835882
