Event_ID,irwinID,Incid_Name,Incid_Type,Map_ID,Map_Prog,Asmnt_Type,BurnBndAc,BurnBndLat,BurnBndLon,Ig_Date,Pre_ID,Post_ID,Perim_ID,dNBR_offst,dNBR_stdDv,NoData_T,IncGreen_T,Low_T,Mod_T,High_T,Comment,_EVT_mean,_EVT_media,_EVT_major,LF20_EVT_2,LF20_EVT_1,LF20_EVT_3,LF20_EVT_4,LF20_EVT_5,LF20_EVT_6,LF20_EVT_7,LF20_EVT_8,LF20_EVT_9,LF20_EVT10,LF20_EVT11,LF20_EVT12,LF20_EVT13,LF20_EVT14,LF20_EVT15,LF20_EVT16,LF20_EVT17,LF20_EVT18,dist_pole,x,y
UT3778610952720020601,,NIZHONI,Wildfire,"12518",MTBS,Extended,"2313","37.786","-109.527",2002/06/01,"703603420010618","503603420030819","503603420020816","92","-9999","-970","-150","250","387","600",,7333.288187764524992,7054.000000000000000,7054.000000000000000,Southern Rocky Mountain Ponderosa Pine Woodland,"7054","2054",Tr Southern Rocky Mountain Ponderosa Pine Woodland,Tree,Conifer,"631","Ponderosa Pine Forest, Woodland and Savanna",SAF 237: Interior Ponderosa Pine,Tree-dominated,Open tree canopy,Evergreen open tree canopy,"214","255","181","0.839216","1.000000","0.709804",0.013082266545367,-109.5265747839,37.7888591402
UT3783410962320060519,,CHIPPEAN RIDGE,Wildland Fire Use,"15140",MTBS,Extended,"2349","37.834","-109.623",2006/05/19,"503603420050707","503603420070627",,"23","-9999","-970","-150","120","220","380",,7193.851158392434627,7016.000000000000000,7016.000000000000000,Colorado Plateau Pinyon-Juniper Woodland,"7016","2016",Tr Colorado Plateau Pinyon-Juniper Woodland,Tree,Conifer,"630",Pinyon-Juniper Woodland,SRM 504: Juniper-Pinyon Pine Woodland,Tree-dominated,Open tree canopy,Evergreen open tree canopy,"121","255","94","0.474510","1.000000","0.368627",0.007482583909345,-109.6190499376,37.8357161335
UT3844210908219940614,,WILLOW BASIN,Wildfire,"8463",MTBS,Extended,"2910","38.442","-109.082",1994/06/14,"503603319930706","503603319950712","503603319940826","-36","-9999","-970","-150","25","174","360",,7136.850914097758505,7054.000000000000000,7054.000000000000000,Southern Rocky Mountain Ponderosa Pine Woodland,"7054","2054",Tr Southern Rocky Mountain Ponderosa Pine Woodland,Tree,Conifer,"631","Ponderosa Pine Forest, Woodland and Savanna",SAF 237: Interior Ponderosa Pine,Tree-dominated,Open tree canopy,Evergreen open tree canopy,"214","255","181","0.839216","1.000000","0.709804",0.014085089329563,-109.0792517131,38.4423555256
UT3838510908720020714,,CANYONS COMPLEX (HANG DOG),Wildfire,"12615",MTBS,Extended,"5668","38.385","-109.087",2002/07/14,"503603320020613","503603320030702","503603320020816","1","-9999","-970","-150","35","127","265",,7153.578953565961456,7107.000000000000000,7107.000000000000000,Rocky Mountain Gambel Oak-Mixed Montane Shrubland,"7107","2107",Sh Rocky Mountain Gambel Oak-Mixed Montane Shrubland,Shrub,Shrubland,"612",Deciduous Shrubland,SRM 413: Gambel oak,Shrub-dominated,Shrubland,Mixed evergreen-deciduous shrubland,"245","175","54","0.960784","0.686275","0.211765",0.021071444172829,-109.0860760676,38.3869630729
UT3856110929920080827,,PORCUPINE RANCH,Wildfire,"16646",MTBS,Extended,"3768","38.561","-109.299",2008/08/27,"503603320080715","503603320090718","703603320080925","25","-9999","-970","-150","75","268","500",,7166.305081744673771,7054.000000000000000,7016.000000000000000,Colorado Plateau Pinyon-Juniper Woodland,"7016","2016",Tr Colorado Plateau Pinyon-Juniper Woodland,Tree,Conifer,"630",Pinyon-Juniper Woodland,SRM 504: Juniper-Pinyon Pine Woodland,Tree-dominated,Open tree canopy,Evergreen open tree canopy,"121","255","94","0.474510","1.000000","0.368627",0.013730758851042,-109.3089999903,38.5624675796
CO3765510864719840706,,UNNAMED,Unknown,"4732",MTBS,Initial (SS),"1335","37.655","-108.647",1984/07/06,,"503503419840706",,"-9999","-9999","9999","9999","360","100","-110",,7156.245173102530316,7054.000000000000000,7054.000000000000000,Southern Rocky Mountain Ponderosa Pine Woodland,"7054","2054",Tr Southern Rocky Mountain Ponderosa Pine Woodland,Tree,Conifer,"631","Ponderosa Pine Forest, Woodland and Savanna",SAF 237: Interior Ponderosa Pine,Tree-dominated,Open tree canopy,Evergreen open tree canopy,"214","255","181","0.839216","1.000000","0.709804",0.006198504494404,-108.6536903403,37.6607457681
WY4204610530719860727,,COLLINS PEAK,Wildfire,"5460",MTBS,Extended,"4078","42.046","-105.307",1986/07/27,"503403119860721","503403119870708","503403119861009","49","-9999","-970","-150","150","344","590",,7273.796172092262168,7126.000000000000000,7054.000000000000000,Southern Rocky Mountain Ponderosa Pine Woodland,"7054","2054",Tr Southern Rocky Mountain Ponderosa Pine Woodland,Tree,Conifer,"631","Ponderosa Pine Forest, Woodland and Savanna",SAF 237: Interior Ponderosa Pine,Tree-dominated,Open tree canopy,Evergreen open tree canopy,"214","255","181","0.839216","1.000000","0.709804",0.013093680153007,-105.3209576807,42.0472575865
NM3678310506719870702,,UNNAMED,Wildfire,"10004024",MTBS,Extended,"1233","36.781","-105.056",1987/07/02,"503303419860714","503303419880703","503303419870818","-8","27","-970","-150","0","200","350",,7076.902126892573506,7054.000000000000000,7054.000000000000000,Southern Rocky Mountain Ponderosa Pine Woodland,"7054","2054",Tr Southern Rocky Mountain Ponderosa Pine Woodland,Tree,Conifer,"631","Ponderosa Pine Forest, Woodland and Savanna",SAF 237: Interior Ponderosa Pine,Tree-dominated,Open tree canopy,Evergreen open tree canopy,"214","255","181","0.839216","1.000000","0.709804",0.008043485845115,-105.0608550300,36.7780827651
CO3942710800419870707,,BATTLEMENT,Wildfire,"5691",MTBS,Extended,"3839","39.427","-108.004",1987/07/07,"503503319860525","503503319880514","503503319870715","95","-9999","-970","-150","200","288","450",,7340.617020044027413,7080.000000000000000,7016.000000000000000,Colorado Plateau Pinyon-Juniper Woodland,"7016","2016",Tr Colorado Plateau Pinyon-Juniper Woodland,Tree,Conifer,"630",Pinyon-Juniper Woodland,SRM 504: Juniper-Pinyon Pine Woodland,Tree-dominated,Open tree canopy,Evergreen open tree canopy,"121","255","94","0.474510","1.000000","0.368627",0.012131812313588,-107.9924287866,39.4296935129
NM3689410477619880506,,SAW,Wildfire,"6519",MTBS,Initial,"3110","36.894","-104.776",1988/05/06,"503303419870802","503303419880703",,"27","-9999","-970","-150","220","322","500",,7116.830866051634075,7054.000000000000000,7054.000000000000000,Southern Rocky Mountain Ponderosa Pine Woodland,"7054","2054",Tr Southern Rocky Mountain Ponderosa Pine Woodland,Tree,Conifer,"631","Ponderosa Pine Forest, Woodland and Savanna",SAF 237: Interior Ponderosa Pine,Tree-dominated,Open tree canopy,Evergreen open tree canopy,"214","255","181","0.839216","1.000000","0.709804",0.013451589616811,-104.7770249119,36.8920558620
CO3947310779819880717,,FLAT IRON,Wildfire,"6241",MTBS,Initial,"1679","39.473","-107.798",1988/07/17,"503503319870613","503503319880802",,"33","-9999","-970","-150","120","500","900",,7233.500331257453581,7086.000000000000000,7107.000000000000000,Rocky Mountain Gambel Oak-Mixed Montane Shrubland,"7107","2107",Sh Rocky Mountain Gambel Oak-Mixed Montane Shrubland,Shrub,Shrubland,"612",Deciduous Shrubland,SRM 413: Gambel oak,Shrub-dominated,Shrubland,Mixed evergreen-deciduous shrubland,"245","175","54","0.960784","0.686275","0.211765",0.008325001222716,-107.7931188912,39.4767515865
CO3775610869319880717,,UNNAMED,Unknown,"6605",MTBS,Initial,"1214","37.756","-108.693",1988/07/17,"503503419870715","503503419880701",,"18","-9999","-970","-150","40","279","545",,7149.633498259117005,7054.000000000000000,7054.000000000000000,Southern Rocky Mountain Ponderosa Pine Woodland,"7054","2054",Tr Southern Rocky Mountain Ponderosa Pine Woodland,Tree,Conifer,"631","Ponderosa Pine Forest, Woodland and Savanna",SAF 237: Interior Ponderosa Pine,Tree-dominated,Open tree canopy,Evergreen open tree canopy,"214","255","181","0.839216","1.000000","0.709804",0.006518990327392,-108.6939917409,37.7544366325
CO3852510518019880721,,DINOSAUR,Wildfire,"6235",MTBS,Extended,"2147","38.525","-105.180",1988/07/21,"503303319870615","503303319890924",,"53","-9999","-970","-150","150","350","600",,7127.699523217246679,7086.000000000000000,7086.000000000000000,Rocky Mountain Lower Montane-Foothill Shrubland,"7086","2086",Sh Rocky Mountain Lower Montane-Foothill Shrubland,Shrub,Shrubland,"612",Deciduous Shrubland,SRM 421: Chokecherry-Serviceberry-Rose,Shrub-dominated,Shrubland,Mixed evergreen-deciduous shrubland,"117","87","61","0.458824","0.341176","0.239216",0.011954539042521,-105.1803099092,38.5256895483
CO4087510602419880906,,GRACE CREEK,Wildfire,"6393",MTBS,Extended,"1455","40.875","-106.024",1988/09/06,"503403219870724","403403219890705",,"24","-9999","-970","-150","280","371","550",,7097.145038167938765,7050.000000000000000,7050.000000000000000,Rocky Mountain Lodgepole Pine Forest,"7050","2050",Tr Rocky Mountain Lodgepole Pine Forest,Tree,Conifer,"622",Lodgepole Pine Forest and Woodland,SAF 218: Lodgepole Pine,Tree-dominated,Closed tree canopy,Evergreen closed tree canopy,"163","240","219","0.639216","0.941176","0.858824",0.006727438114715,-106.0334118488,40.8738078249
CO4012010532619880907,,CANYON,Wildfire,"6394",MTBS,Extended,"1092","40.120","-105.326",1988/09/07,"503403219870724","403403219890705",,"0","-9999","-970","-150","250","360","550",,7327.249440488300934,7086.000000000000000,7054.000000000000000,Southern Rocky Mountain Ponderosa Pine Woodland,"7054","2054",Tr Southern Rocky Mountain Ponderosa Pine Woodland,Tree,Conifer,"631","Ponderosa Pine Forest, Woodland and Savanna",SAF 237: Interior Ponderosa Pine,Tree-dominated,Open tree canopy,Evergreen open tree canopy,"214","255","181","0.839216","1.000000","0.709804",0.008475326123565,-105.3270193367,40.1209587814
